Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
PassIf,合格判定,PassIf returns a pass or fail VerdictKind depending on whether its argument is true or false.,PassIf returns a pass or fail VerdictKind depending on whether its argument is true or false.,9.2.17.2.1,SysML2
isPassing,合格である,Whether or not a verification has passed.,isPassing : Boolean,9.2.17.2.1,SysML2
VerdictKind,判定種別,VerdictKind is an enumeration of the possible results of a VerificationCase,VerdictKind is an enumeration of the possible results of a VerificationCase,9.2.17.2.2,SysML2
error,エラー,error,error,9.2.17.2.2,SysML2
fail,不合格,fail,fail,9.2.17.2.2,SysML2
inconclusive,不明確,inconclusive,inconclusive,9.2.17.2.2,SysML2
pass,合格,pass,pass,9.2.17.2.2,SysML2
VerificationCase,検証ケース,VerificationCase is the most general class of performances of VerificationCaseDefinitions.,VerificationCase is the base class of all VerificationCaseDefinitions.,9.2.17.2.3,SysML2
obj (VerificationCase),目的 (検証ケース),"The objective of this VerificationCase, whose subject is bound to the subject of the VerificationCase and whose requirementVerifications are bound to the requirementVerifications of the VerificationCase.",obj : VerificationCheck {redefines obj},9.2.17.2.3,SysML2
requirementVerifications,要件検証,Checks on whether the verifiedRequirements of the VerificationCaseDefinition have been satisfied.,requirementVerifications : RequirementCheck [0..*],9.2.17.2.3,SysML2
subj (VerificationCase),主体 (検証ケース),"The subject of this VerificationCase, representing the system under test, which is bound to the subject of the objective of the VerificationCase.",subj : Anything {redefines subj},9.2.17.2.3,SysML2
subVerificationCases,サブ検証ケース,The subcases of this VerificationCase that are VerificationCases.,subVerificationCases : VerificationCase [0..*] {subsets subcases},9.2.17.2.3,SysML2
verdict,判定,The result of a VerificationCase must be a VerdictKind.,verdict : VerdictKind {redefines result},9.2.17.2.3,SysML2
verificationCases,検証ケース群,verificationCases is the base feature of all VerificationCaseUsages.,verificationCases is the base feature of all VerificationCaseUsages.,9.2.17.2.4,SysML2
VerificationCheck,検証チェック,VerificationCheck is a specialization of RequirementCheck used for the objective of a VerificationCase in order to record the evaluations of the RequirementChecks of requirements being verified.,VerificationCheck is a specialization of RequirementCheck used for the objective of a VerificationCase in order to record the evaluations of the RequirementChecks of requirements being verified.,9.2.17.2.5,SysML2
requirementVerifications (VerificationCheck),要件検証 (検証チェック),A record of the evaluations of the RequirementChecks of requirements being verified.,requirementVerifications : RequirementCheck [0..*] {subsets constraints},9.2.17.2.5,SysML2
VerificationMethod,検証方法,VerificationMethod can be used as metadata annotating a verification case or action.,VerificationMethod can be used as metadata annotating a verification case or action.,9.2.17.2.6,SysML2
kind (VerificationMethod),種別 (検証方法),The methods by which the annotated verification was carried out.,kind : VerificationMethodKind [1..*],9.2.17.2.6,SysML2
VerificationMethodKind,検証方法種別,VerificationMethodKind is an enumeration of the standard methods by which verification can be carried out.,VerificationMethodKind is an enumeration of the standard methods by which verification can be carried out.,9.2.17.2.7,SysML2
analyze,分析,analyze,analyze,9.2.17.2.7,SysML2
demo,デモ,demo,demo,9.2.17.2.7,SysML2
inspect,検査,inspect,inspect,9.2.17.2.7,SysML2
test,テスト,test,test,9.2.17.2.7,SysML2
UseCase,ユースケース,UseCase is the most general class of performances of UseCaseDefinitions.,UseCase is the base class of all UseCaseDefinitions.,9.2.18.2.1,SysML2
includedUseCases,含まれるユースケース,"Other UseCase included by this UseCase (i.e., as modeled by an IncludeUseCaseUsage).",includedUseCases : UseCase [0..*] {subsets subUseCases},9.2.18.2.1,SysML2
subUseCases,サブユースケース,Other UseCase carried out as part of the performance of this UseCase.,subUseCases : UseCase [0..*] {subsets subcases},9.2.18.2.1,SysML2
useCases,ユースケース群,useCases is the base feature of all UseCaseUsages.,useCases is the base feature of all UseCaseUsages.,9.2.18.2.2,SysML2
asElementTable,要素テーブルとして,"asElementTable renders a View as a table, with one row for each exposed Element and columns rendered by applying the columnViews in order to the Element in each row.","asElementTable renders a View as a table, with one row for each exposed Element and columns rendered by applying the columnViews in order to the Element in each row.",9.2.19.2.1,SysML2
columnView,列ビュー,"The Views to be rendered in the column cells, in order, of each rows of the table.",columnView : View [0..*] {ordered},9.2.19.2.1,SysML2
asInterconnectionDiagram,相互接続図として,"asInterconnectionDiagram renders a View as an interconnection diagram, using the graphical notation defined in the SysML specification.","asInterconnectionDiagram renders a View as an interconnection diagram, using the graphical notation defined in the SysML specification.",9.2.19.2.2,SysML2
asTextualNotation,テキスト表記として,asTextualNotation renders a View into textual notation as defined in the KerML and SysML specifications.,asTextualNotation renders a View into textual notation as defined in the KerML and SysML specifications.,9.2.19.2.3,SysML2
asTreeDiagram,ツリー図として,"asTreeDiagram renders a View as a tree diagram, using the graphical notation defined in the SysML specification.","asTreeDiagram renders a View as a tree diagram, using the graphical notation defined in the SysML specification.",9.2.19.2.4,SysML2
GraphicalRendering,グラフィカルレンダリング,A GraphicalRendering is a Rendering of a View into a graphical format.,A GraphicalRendering is a Rendering of a View into a graphical format.,9.2.19.2.5,SysML2
Rendering,レンダリング,Rendering is the base type of all RenderingDefinitions.,Rendering is the base type of all RenderingDefinitions.,9.2.19.2.6,SysML2
subrenderings,サブレンダリング,Other Rendering used to carry out this Rendering.,subrenderings : Rendering [0..*],9.2.19.2.6,SysML2
renderings,レンダリング群,renderings is the base feature of all RenderingUsages.,renderings is the base feature of all RenderingUsages.,9.2.19.2.7,SysML2
TabularRendering,表形式レンダリング,A TabularRendering is a Rendering of a View into a tabular format.,A TabularRendering is a Rendering of a View into a tabular format.,9.2.19.2.8,SysML2
TextualRendering,テキストレンダリング,A TextualRendering is a Rendering of a View into a textual format.,A TextualRendering is a Rendering of a View into a textual format.,9.2.19.2.9,SysML2
View,ビュー,View is the base type of all ViewDefinitions.,View is the base type of all ViewDefinitions.,9.2.19.2.10,SysML2
self (View),自身 (ビュー),self : View {redefines self},self : View {redefines self},9.2.19.2.10,SysML2
subviews,サブビュー,Other Views that are used in the rendering of this View.,subviews : View [0..*],9.2.19.2.10,SysML2
viewpointConformance,視点適合性,An assertion that all viewpointSatisfactions are true.,viewpointConformance : viewpointConformance,9.2.19.2.10,SysML2
viewpointSatisfactions,視点充足,Checks that the View satisfies all required ViewpointUsages.,viewpointSatisfactions : ViewpointCheck [0..*],9.2.19.2.10,SysML2
viewRendering,ビューレンダリング,The Rendering of this View.,viewRendering : Rendering [0..1],9.2.19.2.10,SysML2
ViewpointCheck,視点チェック,ViewpointCheck is a RequirementCheck for checking if a View meets the concerns of concernedStakeholders.,It is the base type of all ViewpointDefinitions.,9.2.19.2.11,SysML2
subject (ViewpointCheck),主体 (視点チェック),"The subject of this ViewpointCheck, which must be a View.",subject : View {redefines subj},9.2.19.2.11,SysML2
viewpointChecks,視点チェック群,viewpointChecks is the base feature of all ViewpointUsages.,viewpointChecks is the base feature of all ViewpointUsages.,9.2.19.2.12,SysML2
viewpointConformance (SatisfyRequirementUsage),視点適合性 (要件充足利用),A RequirementCheck that all viewpointSatisfactions are true.,A RequirementCheck that all viewpointSatisfactions are true.,9.2.19.2.13,SysML2
viewpointSatisfactions (SatisfyRequirementUsage),視点充足 (要件充足利用),The required ViewpointChecks.,viewpointSatisfactions : ViewpointCheck [0..*] {subsets constraints},9.2.19.2.13,SysML2
views,ビュー群,views is the base feature of all ViewUsages.,views is the base feature of all ViewUsages.,9.2.19.2.14,SysML2
ActionFlowView,アクションフロービュー,ViewDefinition to present connections between actions.,"Valid nodes and edges in an ActionFlowView are: Actions with nested actions, Parameters with direction, Flow connection usages (e.g., kinds of transfers from output to input), Binding connections between parameters (e.g., delegate a parameter from one level of nesting to another), Proxy connection points, Swim lanes, Conditional succession, Control nodes (fork, join, decision, merge), Control structures, e.g., if-then-else, until-while-loop, for-loop, Send and accept actions, Change and time triggers, Compartments on actions and parameters.",9.2.20.2.1,SysML2
BrowserView,ブラウザビュー,ViewDefinition to present the hierarchical membership structure of model elements starting from an exposed root element.,"The typical rendering in graphical notation is as an indented list of rows, consisting of dynamically collapsible-expandable nodes that represent branches and leaves of the tree.",9.2.20.2.2,SysML2
GeneralView,一般ビュー,ViewDefinition to present any members of exposed model element(s).,"This is the most general view, enabling presentation of any model element.",9.2.20.2.3,SysML2
GeometryView,ジオメトリビュー,ViewDefinition to present a visualization of exposed spatial items in two or three dimensions,"Valid nodes and edges in a GeometryView are: Spatial item, including shape, Coordinate frame, Feature related to spatial item, such as a quantity (e.g. temperature) of which values are to be rendered on a color scale",9.2.20.2.4,SysML2
GridView,グリッドビュー,"ViewDefinition to present exposed model elements and their relationships, arranged in a rectangular grid.","GeometryView is the generalization of the following more specialized views: Tabular view, Data value tabular view, Relationship matrix view",9.2.20.2.5,SysML2
InterconnectionView,相互接続ビュー,"ViewDefinition to present exposed features as nodes, nested features as nested nodes, and connections between features as edges between (nested) nodes.","Nested nodes may present boundary features (e.g., ports, parameters).",9.2.20.2.6,SysML2
SequenceView,シーケンスビュー,ViewDefinition to present time ordering of event occurrences on lifelines of exposed features.,"Valid nodes and edges in a SequenceView are: Features such as parts with their lifelines, Event occurrences on the lifelines, Messages sent from one part to another with and without a type of flow, Succession between event occurrences, Nested sequence view (e.g., a reference to a view), Compartments",9.2.20.2.7,SysML2
StateTransitionView,状態遷移ビュー,ViewDefinition to present states and their transitions.,"Valid nodes and edges in a StateTransitionView are: States with nested states, Entry, do, and exit actions, Transition usages with triggers, guards, and actions, Compartments on states",9.2.20.2.8,SysML2
MetadataItem,メタデータアイテム,MetadataItem is the most general class of Items that represent Metaobjects.,MetadataItem is the base type of all MetadataDefinitions.,9.2.21.2.1,SysML2
metadataItems,メタデータアイテム群,metadataItems is the base feature of all MetadataUsages.,metadataItems is the base feature of all MetadataUsages.,9.2.21.2.2,SysML2
SysML model,SysMLモデル,This package contains a reflective SysML model of the SysML abstract syntax.,This package contains a reflective SysML model of the SysML abstract syntax.,9.2.22,SysML2
