Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File
ScalarMeasurementReference,スカラー測定参照,A ScalarMeasurementReference is a specialization of VectorMeasurementReference. It represents a single measurement reference for a ScalarQuantityValue or for a component of a tensor or vector quantity. Its order is zero.,A ScalarMeasurementReference is a specialization of VectorMeasurementReference.,9.8.3.2.26,SysML2
SimpleUnit,基本単位,SimpleUnit is a MeasurementUnit that does not depend on any other measurement unit.,SimpleUnit is a MeasurementUnit that does not depend on any other measurement unit.,9.8.3.2.27,SysML2
SystemOfUnits,単位系,"A SystemOfUnits represents the essentials of [VIM] concept ""system of units"" (https://jcgm.bipm.org/vim/en/1.13.html), defined as a ""set of base units and derived units, together with their multiples and submultiples, defined in accordance with given rules, for a given system of quantities"".","A SystemOfUnits represents the essentials of [VIM] concept ""system of units"" (https://jcgm.bipm.org/vim/en/1.13.html), defined as a ""set of base units and derived units, together with their multiples and submultiples, defined in accordance with given rules, for a given system of quantities"".",9.8.3.2.28,SysML2
TensorMeasurementReference,テンソル測定参照,"A TensorMeasurementReference is an abstract AttributeDefinition and a specialization of Collections::Array, that represents the [VIM] concept measurement reference, but generalized for tensor, vector and scalar quantities.","A TensorMeasurementReference is an abstract AttributeDefinition and a specialization of Collections::Array, that represents the [VIM] concept measurement reference, but generalized for tensor, vector and scalar quantities.",9.8.3.2.29,SysML2
Translation,並進,Representation of a translation with respect to a coordinate frame.,Representation of a translation with respect to a coordinate frame.,9.8.3.2.30,SysML2
TranslationOrRotation,並進または回転,TranslationOrRotation is an abstract union of Translation and Rotation,TranslationOrRotation is an abstract union of Translation and Rotation,9.8.3.2.31,SysML2
TranslationRotationSequence,並進回転シーケンス,A TranslationRotationSequence is a coordinate frame transformation specified by a sequence of translations and/or rotations.,A TranslationRotationSequence is a coordinate frame transformation specified by a sequence of translations and/or rotations.,9.8.3.2.32,SysML2
UnitConversion,単位変換,"UnitConversion is an AttributeDefinition that represents a linear conversion relationship between one measurement unit and another measurement unit, that acts as a reference.","UnitConversion is an AttributeDefinition that represents a linear conversion relationship between one measurement unit and another measurement unit, that acts as a reference.",9.8.3.2.33,SysML2
UnitPowerFactor,単位べき乗因子,UnitPowerFactor is an AttributeDefinition that represents a power factor of a MeasurementUnit and an exponent.,UnitPowerFactor is an AttributeDefinition that represents a power factor of a MeasurementUnit and an exponent.,9.8.3.2.34,SysML2
UnitPrefix,単位接頭辞,UnitPrefix is an AttributeDefinition that represents a named multiple or sub-multiple measurement unit prefix as defined in ISO/IEC 80000-1.,UnitPrefix is an AttributeDefinition that represents a named multiple or sub-multiple measurement unit prefix as defined in ISO/IEC 80000-1.,9.8.3.2.35,SysML2
VectorMeasurementReference,ベクトル測定参照,"A VectorMeasurementReference is a specialization of TensorMeasurementReference for vector quantities that are typed by a VectorQuantityValue. Its order is typically one, but can be zero in case of a specialization to ScalarMeasurementReference.",A VectorMeasurementReference is a specialization of TensorMeasurementReference for vector quantities that are typed by a VectorQuantityValue.,9.8.3.2.36,SysML2
ISQ,国際数量系 (ISQ),The ISQ package specifies a complete set of predefined quantity types for the International System of Quantities (ISQ).,The ISQ package specifies a complete set of predefined quantity types for the International System of Quantities (ISQ).,9.8.4,SysML2
amountOfSubstance,物質量,"(No explicit description, but implied as a feature for AmountOfSubstanceValue)","General Types: AmountOfSubstanceValue, scalarQuantities. Features: None.",9.8.4.2.1,SysML2
AmountOfSubstanceUnit,物質量単位,"(No explicit description, but implied as a SimpleUnit for amountOfSubstance)",General Types: SimpleUnit. Features: None.,9.8.4.2.2,SysML2
AmountOfSubstanceValue,物質量値,"(No explicit description, but implied as a ScalarQuantityValue for amountOfSubstance)",General Types: ScalarQuantityValue. Features: mRef : AmountOfSubstanceUnit {redefines mRef}.,9.8.4.2.3,SysML2
AngularMeasureValue,角度測定値,"(No explicit description, but implied as a ScalarQuantityValue for angular measure)",General Types: None. Features: None.,9.8.4.2.4,SysML2
Cartesian3dSpatialCoordinateFrame,3次元直交空間座標系,A Cartesian3dSpatialFrame is a SpatialFrame relative to which all position and displacement vectors can be represented as CartesianThreeVectorValues.,A Cartesian3dSpatialFrame is a SpatialFrame relative to which all position and displacement vectors can be represented as CartesianThreeVectorValues.,9.8.4.2.5,SysML2
Displacement3dVector,3次元変位ベクトル,"(No explicit description, but implied as a 3dVectorQuantityValue for displacement)",General Types: 3dVectorQuantityValue. Features: isBound : Boolean {redefines isBound}.,9.8.4.2.6,SysML2
duration,期間,"(No explicit description, but implied as a DurationValue for duration)","General Types: DurationValue, scalarQuantities. Features: None.",9.8.4.2.7,SysML2
DurationUnit,期間単位,"(No explicit description, but implied as a SimpleUnit for duration)",General Types: SimpleUnit. Features: None.,9.8.4.2.8,SysML2
DurationValue,期間値,"(No explicit description, but implied as a ScalarQuantityValue for duration)",General Types: ScalarQuantityValue. Features: mRef : DurationUnit {redefines mRef}.,9.8.4.2.9,SysML2
electricCurrent,電流,"(No explicit description, but implied as an ElectricCurrentValue for electric current)","General Types: ElectricCurrentValue, scalarQuantities. Features: None.",9.8.4.2.10,SysML2
ElectricCurrentUnit,電流単位,"(No explicit description, but implied as a SimpleUnit for electric current)",General Types: SimpleUnit. Features: None.,9.8.4.2.11,SysML2
ElectricCurrentValue,電流値,"(No explicit description, but implied as a ScalarQuantityValue for electric current)",General Types: ScalarQuantityValue. Features: mRef : ElectricCurrentUnit {redefines mRef}.,9.8.4.2.12,SysML2
length,長さ,"(No explicit description, but implied as a LengthValue for length)","General Types: LengthValue, scalarQuantities. Features: None.",9.8.4.2.13,SysML2
LengthUnit,長さ単位,"(No explicit description, but implied as a SimpleUnit for length)",General Types: SimpleUnit. Features: None.,9.8.4.2.14,SysML2
LengthValue,長さ値,"(No explicit description, but implied as a ScalarQuantityValue for length)",General Types: ScalarQuantityValue. Features: mRef : LengthUnit {redefines mRef}.,9.8.4.2.15,SysML2
luminousIntensity,光度,"(No explicit description, but implied as a LuminousIntensityValue for luminous intensity)","General Types: LuminousIntensityValue, scalarQuantities. Features: None.",9.8.4.2.16,SysML2
LuminousIntensityUnit,光度単位,"(No explicit description, but implied as a SimpleUnit for luminous intensity)",General Types: SimpleUnit. Features: None.,9.8.4.2.17,SysML2
LuminousIntensityValue,光度値,"(No explicit description, but implied as a ScalarQuantityValue for luminous intensity)",General Types: ScalarQuantityValue. Features: mRef : LuminousIntensityUnit {redefines mRef}.,9.8.4.2.18,SysML2
mass,質量,"(No explicit description, but implied as a MassValue for mass)","General Types: MassValue, scalarQuantities. Features: None.",9.8.4.2.19,SysML2
MassUnit,質量単位,"(No explicit description, but implied as a SimpleUnit for mass)",General Types: SimpleUnit. Features: None.,9.8.4.2.20,SysML2
MassValue,質量値,"(No explicit description, but implied as a ScalarQuantityValue for mass)",General Types: ScalarQuantityValue. Features: mRef : MassUnit {redefines mRef}.,9.8.4.2.21,SysML2
Position3dVector,3次元位置ベクトル,"(No explicit description, but implied as a 3dVectorQuantityValue for position)",General Types: 3dVectorQuantityValue. Features: isBound : Boolean {redefines isBound}.,9.8.4.2.22,SysML2
Spatial3dCoordinateFrame,3次元空間座標系,"(No explicit description, but implied as a 3dCoordinateFrame for spatial coordinates)",General Types: 3dCoordinateFrame. Features: isBound : Boolean {redefines isBound}.,9.8.4.2.23,SysML2
thermodynamicTemperature,熱力学温度,"(No explicit description, but implied as a ThermodynamicTemperatureValue for thermodynamic temperature)","General Types: ThermodynamicTemperatureValue, scalarQuantities. Features: None.",9.8.4.2.24,SysML2
ThermodynamicTemperatureUnit,熱力学温度単位,"(No explicit description, but implied as a SimpleUnit for thermodynamic temperature)",General Types: SimpleUnit. Features: None.,9.8.4.2.25,SysML2
ThermodynamicTemperatureValue,熱力学温度値,"(No explicit description, but implied as a ScalarQuantityValue for thermodynamic temperature)",General Types: ScalarQuantityValue. Features: mRef : ThermodynamicTemperatureUnit {redefines mRef}.,9.8.4.2.26,SysML2
universalCartesianSpatial3dCoordinateFrame,普遍3次元直交空間座標系,A singleton CartesianSpatial3dCoordinateFrame that can be used as a default universal Cartesian 3D coordinate frame.,A singleton CartesianSpatial3dCoordinateFrame that can be used as a default universal Cartesian 3D coordinate frame.,9.8.4.2.27,SysML2
yocto,ヨクト,"(No explicit description, but implied as a UnitPrefix for 10^-24)","Name: yocto, Symbol: y, Value: 10^-24",9.8.5.2,SysML2
zepto,ゼプト,"(No explicit description, but implied as a UnitPrefix for 10^-21)","Name: zepto, Symbol: z, Value: 10^-21",9.8.5.2,SysML2
atto,アット,"(No explicit description, but implied as a UnitPrefix for 10^-18)","Name: atto, Symbol: a, Value: 10^-18",9.8.5.2,SysML2
femto,フェムト,"(No explicit description, but implied as a UnitPrefix for 10^-15)","Name: femto, Symbol: f, Value: 10^-15",9.8.5.2,SysML2
pico,ピコ,"(No explicit description, but implied as a UnitPrefix for 10^-12)","Name: pico, Symbol: p, Value: 10^-12",9.8.5.2,SysML2
nano,ナノ,"(No explicit description, but implied as a UnitPrefix for 10^-9)","Name: nano, Symbol: n, Value: 10^-9",9.8.5.2,SysML2
micro,マイクロ,"(No explicit description, but implied as a UnitPrefix for 10^-6)","Name: micro, Symbol: μ, Value: 10^-6",9.8.5.2,SysML2
milli,ミリ,"(No explicit description, but implied as a UnitPrefix for 10^-3)","Name: milli, Symbol: m, Value: 10^-3",9.8.5.2,SysML2
centi,センチ,"(No explicit description, but implied as a UnitPrefix for 10^-2)","Name: centi, Symbol: c, Value: 10^-2",9.8.5.2,SysML2
deci,デシ,"(No explicit description, but implied as a UnitPrefix for 10^-1)","Name: deci, Symbol: d, Value: 10^-1",9.8.5.2,SysML2
deca,デカ,"(No explicit description, but implied as a UnitPrefix for 10^1)","Name: deca, Symbol: da, Value: 10^1",9.8.5.2,SysML2
hecto,ヘクト,"(No explicit description, but implied as a UnitPrefix for 10^2)","Name: hecto, Symbol: h, Value: 10^2",9.8.5.2,SysML2
kilo,キロ,"(No explicit description, but implied as a UnitPrefix for 10^3)","Name: kilo, Symbol: k, Value: 10^3",9.8.5.2,SysML2
mega,メガ,"(No explicit description, but implied as a UnitPrefix for 10^6)","Name: mega, Symbol: M, Value: 10^6",9.8.5.2,SysML2
giga,ギガ,"(No explicit description, but implied as a UnitPrefix for 10^9)","Name: giga, Symbol: G, Value: 10^9",9.8.5.2,SysML2
tera,テラ,"(No explicit description, but implied as a UnitPrefix for 10^12)","Name: tera, Symbol: T, Value: 10^12",9.8.5.2,SysML2
peta,ペタ,"(No explicit description, but implied as a UnitPrefix for 10^15)","Name: peta, Symbol: P, Value: 10^15",9.8.5.2,SysML2
exa,エクサ,"(No explicit description, but implied as a UnitPrefix for 10^18)","Name: exa, Symbol: E, Value: 10^18",9.8.5.2,SysML2
zetta,ゼッタ,"(No explicit description, but implied as a UnitPrefix for 10^21)","Name: zetta, Symbol: Z, Value: 10^21",9.8.5.2,SysML2
yotta,ヨッタ,"(No explicit description, but implied as a UnitPrefix for 10^24)","Name: yotta, Symbol: Y, Value: 10^24",9.8.5.2,SysML2
kibi,キビ,"(No explicit description, but implied as a binary UnitPrefix for 1024)","Name: kibi, Symbol: Ki, Value: 1024",9.8.5.2,SysML2
mebi,メビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^2)","Name: mebi, Symbol: Mi, Value: 1024^2",9.8.5.2,SysML2
gibi,ギビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^3)","Name: gibi, Symbol: Gi, Value: 1024^3",9.8.5.2,SysML2
tebi,テビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^4)","Name: tebi, Symbol: Ti, Value: 1024^4",9.8.5.2,SysML2
pebi,ペビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^5)","Name: pebi, Symbol: Pi, Value: 1024^5",9.8.5.2,SysML2
exbi,エクスビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^6)","Name: exbi, Symbol: Ei, Value: 1024^6",9.8.5.2,SysML2
zebi,ゼビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^7)","Name: zebi, Symbol: Zi, Value: 1024^7",9.8.5.2,SysML2
yobi,ヨビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^8)","Name: yobi, Symbol: Yi, Value: 1024^8",9.8.5.2,SysML2
SI,国際単位系 (SI),"This package specifies the measurement units as defined in ISO/IEC 80000 parts 3 to 13, the International System of (Measurement) Units -- Système International d'Unités (SI).","This package specifies the measurement units as defined in ISO/IEC 80000 parts 3 to 13, the International System of (Measurement) Units -- Système International d'Unités (SI).",9.8.6,SysML2
US Customary Units,米国慣用単位,"This package specifies all US Customary measurement units, with conversion factors to compatible SI units, as defined in Appendix B ""Conversion Factors"" of [NIST SP-811].","This package specifies all US Customary measurement units, with conversion factors to compatible SI units, as defined in Appendix B ""Conversion Factors"" of [NIST SP-811].",9.8.7,SysML2
Time (Domain Library),時間ドメインライブラリ,"This package specifies concepts to support time-related quantities and metrology, beyond the quantities duration and time as defined in [ISO 80000-3].","This package specifies concepts to support time-related quantities and metrology, beyond the quantities duration and time as defined in [ISO 80000-3].",9.8.8,SysML2
Clock,クロック,A Clock provides a currentTime as a TimeInstantValue that advances montonically over its lifetime.,A Clock provides a currentTime as a TimeInstantValue that advances montonically over its lifetime.,9.8.8.2.1,SysML2
Date,日付,Generic representation of a time instant as a calendar date.,Generic representation of a time instant as a calendar date.,9.8.8.2.2,SysML2
DateTime,日時,Generic representation of a time instant as a calendar date and time of day.,Generic representation of a time instant as a calendar date and time of day.,9.8.8.2.3,SysML2
DurationOf,期間の,"DurationOf returns the duration of a given Occurrence relative to a given Clock, which is equal to the TimeOf the end snapshot of the Occurrence minus the TimeOf","DurationOf returns the duration of a given Occurrence relative to a given Clock, which is equal to the TimeOf the end snapshot of the Occurrence minus the TimeOf",9.8.8.2.4,SysML2
Iso8601DateTime,ISO 8601日時,Representation of an ISO 8601-1 date and time in extended string format.,Representation of an ISO 8601-1 date and time in extended string format.,9.8.8.2.5,SysML2
Iso8601DateTimeEncoding,ISO 8601日時エンコーディング,Extended string encoding of an ISO 8601-1 date and time.,Extended string encoding of an ISO 8601-1 date and time.,9.8.8.2.6,SysML2
Iso8601DateTimeStructure,ISO 8601日時構造,Representation of an ISO 8601 date and time with explicit date and time component attributes.,Representation of an ISO 8601 date and time with explicit date and time component attributes.,9.8.8.2.7,SysML2
timeInstant,時点,"(No explicit description, but implied as a TimeInstantValue for time instant)","General Types: TimeInstantValue, scalarQuantities. Features: None.",9.8.8.2.8,SysML2
TimeInstantValue,時点値,Representation of a time instant quantity. Also known as instant (of time) or point in time.,Representation of a time instant quantity. Also known as instant (of time) or point in time.,9.8.8.2.9,SysML2
TimeOf,時刻の,"TimeOf returns a TimeInstantValue for a given Occurrence relative to a given Clock. This TimeInstantValue is the time of the start of the Occurrence, which is considered to be synchronized with the snapshot of the Clock with a currentTime equal to the returned timeInstant",TimeOf returns a TimeInstantValue for a given Occurrence relative to a given Clock.,9.8.8.2.10,SysML2
TimeOfDay,時刻,Generic representation of a time instant as a time of day.,Generic representation of a time instant as a time of day.,9.8.8.2.11,SysML2
TimeScale,時間尺度,"Generic time scale to express a time instant, including a textual definition of the meaning of zero time instant value. Attribute definitionalEpoch captures the specification of the time instant with value zero, also known as the (reference) epoch.","Generic time scale to express a time instant, including a textual definition of the meaning of zero time instant value.",9.8.8.2.12,SysML2
universalClock,普遍クロック,universalClock is a single Clock that can be used as a default universal time reference.,universalClock is a single Clock that can be used as a default universal time reference.,9.8.8.2.13,SysML2
UTC,協定世界時 (UTC),Representation of the Coordinated Universal Time (UTC) time scale.,Representation of the Coordinated Universal Time (UTC) time scale.,9.8.8.2.14,SysML2
utcTimeInstant,UTC時点,"(No explicit description, but implied as a UtcTimeInstantValue for UTC time instant)","General Types: UtcTimeInstantValue, timeInstant. Features: None.",9.8.8.2.15,SysML2
UtcTimeInstantValue,UTC時点値,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,Representation of a time instant expressed on the Coordinated Universal Time (UTC) time scale.,9.8.8.2.16,SysML2
Quantity Calculations,数量計算,"In order to enable the use of quantities in expressions this library package specifies the mathematical operators and functions to support quantity arithmetic, and some convenience functions.","In order to enable the use of quantities in expressions this library package specifies the mathematical operators and functions to support quantity arithmetic, and some convenience functions.",9.8.9,SysML2
Measurement Ref Calculations,測定参照計算,"Similar to computations with ScalarQuantityValues and VectorQuantityValues in quantity expressions, it is also possible to create measurement reference expressions to compute with MeasurementUnits and CoordinateFrames.","Similar to computations with ScalarQuantityValues and VectorQuantityValues in quantity expressions, it is also possible to create measurement reference expressions to compute with MeasurementUnits and CoordinateFrames.",9.8.12,SysML2
