Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
EccentricCylinder,偏心円柱,An EccentricCylinder is a Cylinder,An EccentricCylinder is a Cylinder,9.7.3.2.14,SysML2,9.4
effect (DecisionTransitionAction),効果 (決定遷移アクション),effect : Action [0] {redefines effect},effect : Action [0] {redefines effect},9.2.10.2.10,SysML2,9.2
effect (TransitionAction),効果 (遷移アクション),"effect : Action [0..*] {subsets subactions, redefines effect}","effect : Action [0..*] {subsets subactions, redefines effect}",9.2.10.2.26,SysML2,9.2
effect action,エフェクトアクション,"Finally, a transition usage can have an effect action, which is an action usage that is performed if the transition usage is triggered.","Finally, a transition usage can have an effect action, which is an action usage that is performed if the transition usage is triggered.",7.18.3,SysML2,7.18
effect action,エフェクトアクション,"a transition usage may specify an effect action usage that starts if the transition is triggered, after the source state is deactivated, and must complete before the target state is activated.","a transition usage may specify an effect action usage that starts if the transition is triggered, after the source state is deactivated, and must complete before the target state is activated.",7.18,SysML2,7.18
Effective name,有効名,"If a name and/or short name are declared for an element, these are used in the name resolution process to identify the element (as discussed in 7.6.1 ). However, if neither a name or a short name are given in the declaration of a usage with an owned redefinition, then its effective name and short name are implicitly determined by the name and short name of the redefining usage of its first owned redefinition (which may itself be an implicit name, if the redefined usage is itself a redefining usage).","If a name and/or short name are declared for an element, these are used in the name resolution process to identify the element (as discussed in 7.6.1 ).",7.6.5,SysML2,7.6
EffectMetadata,結果メタデータ,EffectMetadata (short name effect) identifies a Usage as being a effect occurrence. It is intended to be used to tag the effect ends of a Multicausation.,EffectMetadata (short name effect) identifies a Usage as being a effect occurrence.,9.5.3.2.4,SysML2,9.5
EffectMetadata,結果メタデータ,EffectMetadata (short name effect) identifies a Usage as being a effect occurrence. It is intended to be used to tag the effect ends of a Multicausation.,EffectMetadata (short name effect) identifies a Usage as being a effect occurrence.,9.5.3.2.4,SysML2,9.4
effects,結果,Occurrences that are effects.,The effect Occurrences caused by the causing Occurrences. (Constant for each Multicausation instance.) Redefines CausationConnections::effects in the context of Multicausation.,9.5.2.2.4,SysML2,9.4
effects,結果 (使用),Occurrences that are effects.,Occurrences that are effects.,9.5.2.4,SysML2,9.5
effects (Multicausation feature),結果 (多重因果関係フィーチャ),The effect Occurrences caused by the causing Occurrences. (Constant for each Multicausation instance.) Redefines CausationConnections::effects in the context of Multicausation.,effects : Occurrence [1..*] {subsets participant},9.5.2.5,SysML2,9.5
electricCurrent,電流,electricCurrent is an ElectricCurrentValue attribute usage.,electricCurrent is an ElectricCurrentValue attribute usage.,9.8.4.2.10,SysML2,9.8
electricCurrent,電流,"(No explicit description, but implied as an ElectricCurrentValue for electric current)","General Types: ElectricCurrentValue, scalarQuantities. Features: None.",9.8.4.2.10,SysML2,9.4
ElectricCurrentUnit,電流単位,"(No explicit description, but implied as a SimpleUnit for electric current)",General Types: SimpleUnit. Features: None.,9.8.4.2.11,SysML2,9.4
ElectricCurrentUnit,電流単位,ElectricCurrentUnit is a SimpleUnit attribute definition.,ElectricCurrentUnit is a SimpleUnit attribute definition.,9.8.4.2.11,SysML2,9.8
ElectricCurrentValue,電流値,ElectricCurrentValue is a ScalarQuantityValue attribute definition.,ElectricCurrentValue is a ScalarQuantityValue attribute definition.,9.8.4.2.12,SysML2,9.8
ElectricCurrentValue,電流値,"(No explicit description, but implied as a ScalarQuantityValue for electric current)",General Types: ScalarQuantityValue. Features: mRef : ElectricCurrentUnit {redefines mRef}.,9.8.4.2.12,SysML2,9.4
Element,要素,Elements are the constituents of a model.,"Elements are the constituents of a model. Some elements represent relationships between other elements, known as the related elements of the relationship.",7.2.1,SysML2,7.2-7.3
Element,要素,"An Element is a constituent of a model that is uniquely identified relative to all other Elements. It can have Relationships with other Elements. Some of these Relationships might imply ownership of other Elements, which means that if an Element is deleted from a model, then so are all the Elements that it owns.",An Element is a constituent of a model that is uniquely identified relative to all other Elements.,8.3.2.1.2,SysML2,8.3
element ID,要素ID,"Every element has a unique identifier known as its element ID. The properties of an element can change over its lifetime, but its element ID does not change after the element is created.",Every element has a unique identifier known as its element ID.,7.2.2,SysML2,7.2-7.3
ElementFilterMember,要素フィルターメンバー,A membership with a filter condition.,`ElementFilterMember : ElementFilterMembership = MemberPrefix 'filter' ownedRelatedElement += OwnedExpression ';'`,8.2.2.5.1,SysML2,8.2
ElementFilterMembership,要素フィルタメンバーシップ,"ElementFilterMembership is a Membership between a Namespace and a model-level evaluable Boolean-valued Expression, asserting that imported members of the Namespace should be filtered using the condition Expression. A general Namespace does not define any specific filtering behavior, but such behavior may be defined for various specialized kinds of Namespaces.","ElementFilterMembership is a Membership between a Namespace and a model-level evaluable Boolean-valued Expression, asserting that imported members of the Namespace should be filtered using the condition Expression.",8.3.5.9,SysML2,8.3
Elements and relationships,要素と関係,Elements and relationships that define the basic graph structure of a model (see 7.2 ).,SysML directly uses the following concepts from KerML: Elements and relationships that define the basic graph structure of a model (see 7.2 ).,7.1,SysML2,7.1
Ellipse,楕円,An Ellipse is a ConicSection in the shape of an ellipse of given semiaxes.,An Ellipse is a ConicSection in the shape of an ellipse of given semiaxes.,9.7.3.2.15,SysML2,9.7
Ellipse,楕円,An Ellipse is a ConicSection in the shape of an ellipse of given semiaxes.,An Ellipse is a ConicSection in the shape of an ellipse of given semiaxes.,9.7.3.2.15,SysML2,9.4
Ellipsoid,楕円体,An Ellipsoid is a ConicSurface with only elliptical cross-sections.,An Ellipsoid is a ConicSurface with only elliptical cross-sections.,9.7.3.2.16,SysML2,9.4
Ellipsoid,楕円体,An Ellipsoid is a ConicSurface with only elliptical cross-sections.,An Ellipsoid is a ConicSurface with only elliptical cross-sections.,9.7.3.2.16,SysML2,9.7
elseClause,Else節,An optional Performance that occurs if and only if the result of the ifTest is false.,elseClause : Performance [0..1] {redefines elseClause},9.2.10.2.16,SysML2,9.2
encoding,エンコーディング,"Describes how characters in the content are to be decoded into binary data. At least ""base64"", ""hex"", ""identify"", and ""JSONescape"" shall be supported.",encoding : String [0..1],9.3.5.2.2,SysML2,9.3
end features,端フィーチャ,"End features are declared as usages (see 7.6.3 ), prefixed by the keyword end. End features are always considered referential (non-composite), whether or not their declaration explicitly includes the ref keyword. The end features of a connection definition or usage identify the participants in the connections that are instances of the connection definition or usage and must have multiplicity 1..1.","End features are declared as usages (see 7.6.3 ), prefixed by the keyword end.",7.13.2,SysML2,7.13
entry action,エントリアクション,An entry action starts when the state is activated.,An entry action starts when the state is activated.,7.18,SysML2,7.18
entry action (keyword),エントリアクション (キーワード),"In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.","In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.",7.18.2,SysML2,7.18
entryAction,エントリアクション,entryAction : Action {redefines entry},entryAction : Action {redefines entry},9.2.11.2.1,SysML2,9.2
enum (keyword),enum（キーワード）,The keyword used to declare an enumeration definition or an enumeration usage.,"An enumeration definition is declared as described in 7.6.2 , using the kind keyword enum, with the additional restrictions described below. An enumeration usage is declared as described in 7.6.3 , using the kind keyword enum.",7.8.2,SysML2,7.8
enumerated value (declaration),列挙値（宣言）,"An enumeration usage declared as an enumerated value is considered to be implicitly defined by its owning enumeration definition and, therefore, may not have any explicitly declared definition other than that enumeration definition (and need not have any explicitly declared definition at all).","Since the body of an enumeration definition may only declare enumeration usages, the declaration of an enumerated value may omit the enum keyword.",7.8.2,SysML2,7.8
enumerated values,列挙値,The instances of an enumeration definition are limited to a specific set of enumerated values.,An enumeration definition may not contain anything other than the declaration of its enumerated values.,7.8.1,SysML2,7.8
Enumeration,列挙,Enumerations that are attributes restricted to a specified set of enumerated values.,Enumerations that are attributes restricted to a specified set of enumerated values (see 7.8 ).,7.6.1,SysML2,7.6
enumeration definition,列挙定義,An enumeration definition is a kind of attribute definition (see 7.7 ) whose instances are limited to specific set of enumerated values.,An enumeration definition is a kind of attribute definition (see 7.7 ) whose instances are limited to specific set of enumerated values.,7.8.1,SysML2,7.8
Enumeration Definition (semantics),列挙定義 (意味論),An EnumerationDefinition is a kind of AttributeDefinition all of whose instances are limited to specific set of enumerated values.,"However, an EnumerationDefinition is also required to have isVariation = true, and its enumeratedValues are then just its variants (see 8.4.2.3 on the semantics of variation Definitions).",8.4.4,SysML2,8.4
enumeration usage,列挙使用,An enumeration usage is an attribute usage that is required to have a single definition that is an enumeration definition.,An enumeration usage is an attribute usage that is required to have a single definition that is an enumeration definition.,7.8.1,SysML2,7.8
EnumerationDefinition,列挙定義,"An EnumerationDefinition is an AttributeDefinition all of whose instances are given by an explicit list of enumeratedValues. This is realized by requiring that the EnumerationDefinition have isVariation = true, with the enumeratedValues being its variants.",An EnumerationDefinition is an AttributeDefinition all of whose instances are given by an explicit list of enumeratedValues.,8.3.8.2,SysML2,8.3
Enumerations,列挙型,Enumerations that are attributes restricted to a specified set of enumerated values (see 7.8 ).,"The modeling of attributive information about things, including: Enumerations that are attributes restricted to a specified set of enumerated values (see 7.8 ).",7.1,SysML2,7.1
EnumerationUsage,列挙使用,An EnumerationUsage is an AttributeUsage whose attributeDefinition is an EnumerationDefinition.,An EnumerationUsage is an AttributeUsage whose attributeDefinition is an EnumerationDefinition.,8.3.8.3|,,8.3
Enveloping Shapes,包絡形状,"An item can also identify other items as enveloping shapes, which are closed items that are the boundary of a hypothetical item occupying the same or larger space as the enveloped item.","An item can also identify other items as enveloping shapes, which are closed items that are the boundary of a hypothetical item occupying the same or larger space as the enveloped item.",7.10.1,SysML2,7.10
envelopingShapes,包絡形状,Shapes that are the shape of an Item that includes this Item in space and time.,envelopingShapes : Item [0..*],9.2.3.2.1,SysML2,9.2
error,エラー,error,error,9.2.17.2.2,SysML2,9.2
escape sequence,エスケープシーケンス,"An escape sequence is a sequence of two text characters starting with a backslash as an escape character, which actually denotes only a single character (except for the newline escape sequence, which represents however many characters is necessary to represent an end of line in a specific implementation).","An escape sequence is a sequence of two text characters starting with a backslash as an escape character, which actually denotes only a single character (except for the newline escape sequence, which represents however many characters is necessary to represent an end of line in a specific implementation).",7.2.2,SysML2,7.2-7.3
EvaluationFunction,評価関数,"An EvaluationFunction is a calculation that evaluates a TradeStudy alternative, producing a ScalarValue that can be compared with the evaluation of other alternatives.","An EvaluationFunction is a calculation that evaluates a TradeStudy alternative, producing a ScalarValue that can be compared with the evaluation of other alternatives.",9.4.5.2.1,SysML2,9.4
event occurrence (keyword),イベント事象 (キーワード),"An event occurrence usage may also be declared using just the keyword event instead of event occurrence. In this case, the declaration does not include either a name or a short name.",event subscriptionMessage.source[1];,7.9.5,SysML2,7.9
event occurrence usage,イベント事象利用,"An event occurrence usage is declared like an occurrence usage, as described in 7.9.2, 7.9.3, and 7.9.4, but using the kind keyword event occurrence instead of just occurrence.","An event occurrence usage is declared like an occurrence usage, as described in 7.9.2, 7.9.3, and 7.9.4, but using the kind keyword event occurrence instead of just occurrence.",7.9.5,SysML2,7.9
Event Occurrence Usage (semantics),イベントオカレンス使用 (意味論),An EventOccurrenceUsage is a kind of OccurrenceUsage that is required to always be referential by the validateEventOccurrenceUsageIsReference.,"In addition, if an EventOccurrenceUsage is an ownedFeature of an OccurrenceDefinition or OccurrenceUsage, then the checkEventOccurrenceUsageSpecialization constraint requires that it specialize the kernel Feature Occurrences::Occurrence::timeEnclosedOccurrences (see [KerML, 9.2.4]).",8.4.5.3,SysML2,8.4
Events,イベント事象,An event is a reference from one occurrence to another occurrence that represents some relevant happening during the lifetime of the first occurrence.,An event is a reference from one occurrence to another occurrence that represents some relevant happening during the lifetime of the first occurrence.,7.9.4,SysML2,7.9
exa,エクサ,"(No explicit description, but implied as a UnitPrefix for 10^18)","Name: exa, Symbol: E, Value: 10^18",9.8.5.2,SysML2,9.4
exa,エクサ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,exa E 1018,9.8.5.1,SysML2,9.8
exbi,エクスビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^6)","Name: exbi, Symbol: Ei, Value: 1024^6",9.8.5.2,SysML2,9.4
exbi,エクスビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",exbi Ei 10246,9.8.5.1,SysML2,9.8
exclusiveStates,排他状態,"The substates of this StateAction that are mutually exclusive, that is, whose performances do not overlap in time.",exclusiveStates : StateAction [0..*] {subsets substates},9.2.11.2.1,SysML2,9.2
exhibit (keyword),提示 (キーワード),An exhibit state usage may also be declared using just the keyword exhibit instead of exhibit state.,An exhibit state usage may also be declared using just the keyword exhibit instead of exhibit state.,7.18.4,SysML2,7.18
exhibit state (keyword),提示状態 (キーワード),An exhibit state usage is declared as a state usage (see 7.18.2 ) but using the kind keyword exhibit state instead of just state.,An exhibit state usage is declared as a state usage (see 7.18.2 ) but using the kind keyword exhibit state instead of just state.,7.18.4,SysML2,7.18
Exhibit State Usage (semantics),状態表示使用 (意味論),An ExhibitStateUsage is a kind of StateUsage and a kind of PerformActionUsage.,"The checkExhibitStateUsageSpecialization constraint requires that if an ExhibitStateUsage is an ownedFeature of a PartDefinition or PartUsage, then it must directly or indirectly specialize the StateUsage Parts::Part::exhibitStates (see 9.2.4.2.1 ), which subsets State::states (see 7.18 ) and Parts::Part::performedActions.",8.4.14.4,SysML2,8.4
Exhibited States,提示状態,"A state usage can be a feature of a part definition or a part usage, which can exhibit a state by referencing the state usage or by containing an owned state usage.","A state usage can be a feature of a part definition or a part usage, which can exhibit a state by referencing the state usage or by containing an owned state usage.",7.18,SysML2,7.18
exhibitedStates,呈示状態,StateActions that are exhibited by this Part.,exhibitedStates : StateAction [0..*] {subsets performedActions},9.2.4.2.1,SysML2,9.2
exit action,イグジットアクション,"An exit action starts when the state is exited, and the state becomes inactive once the exit action is completed.","An exit action starts when the state is exited, and the state becomes inactive once the exit action is completed.",7.18,SysML2,7.18
exit action (keyword),イグジットアクション (キーワード),"In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.","In addition, entry, do and exit actions can be declared (at most one of each) in the body of a state definition or usage, using the keywords entry action, do action, and exit action, followed by an action declaration and body, in the usual form.",7.18.2,SysML2,7.18
exitAction,終了アクション,exitAction : Action {redefines exit},exitAction : Action {redefines exit},9.2.11.2.1,SysML2,9.2
Expose Relationship,公開関係,"Expose relationships are declared like import relationships (see 7.5.3 ), but using the keyword expose instead of import and with no specification of visibility.","In addition, a view usage can specify which elements are actually to be exposed by the view. This is done using expose relationships, which are a special kind of import relationships.",7.26.2,SysML2,7.26
Expressions,式,"Expressions can be used to specify calculations, case results, constraints and formal requirements.","SysML directly uses the following concepts from KerML: Expressions can be used to specify calculations, case results, constraints and formal requirements.",7.1,SysML2,7.1
fail,不合格,fail,fail,9.2.17.2.2,SysML2,9.2
Feature,フィーチャ,"A definition may have owned usage elements nested in it, referred to as its features.","A definition may have owned usage elements nested in it, referred to as its features.",7.6.1,SysML2,7.6
Feature chain,フィーチャチェーン,A feature chain is a textual notation specified as a sequence of two or more qualified names separated by dot (.) symbols.,A feature chain is a textual notation specified as a sequence of two or more qualified names separated by dot (.) symbols.,7.6.6,SysML2,7.6
feature reference expression,フィーチャ参照式,Feature reference expressions evaluate to values of a referenced feature that is not part of the expression tree.,sensor::isActive,7.4.9.1,KerML1,7.19
Feature typing,フィーチャタイピング,Feature typings specify the definitions of a usage (also known as its types).,Feature typings specify the definitions of a usage (also known as its types).,7.6.3,SysML2,7.6
Feature typing,フィーチャタイピング,"Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).","Specialization of elements that specify types, including subclassification, subsetting, redefinition and feature typing (see 7.6 ).",7.1,SysML2,7.1
feature value,フィーチャ値,A feature value is a shorthand for initializing or binding a usage to the result of an expression (see 7.19 ) as part of the declaration of the usage. There are two types of feature value binding.,A feature value is a shorthand for initializing or binding a usage to the result of an expression (see 7.19 ) as part of the declaration of the usage.,7.13.1,SysML2,7.13
femto,フェムト,"(No explicit description, but implied as a UnitPrefix for 10^-15)","Name: femto, Symbol: f, Value: 10^-15",9.8.5.2,SysML2,9.4
femto,フェムト,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,femto f 10-15,9.8.5.1,SysML2,9.8
filter conditions,フィルター条件,"Boolean-valued, model-level evaluable expressions used to filter the imports for a package.",A package may also contain filter conditions that filter the imports for the package.,7.5.1,SysML2,7.5
filter import,フィルターインポート,"An import that includes one or more filter conditions in the import declaration, listed after the imported membership or namespace specification, each surrounded by square brackets [... ].","A filter import includes one or more filter conditions in the import declaration, listed after the imported membership or namespace specification, each surrounded by square brackets [... ].",7.5.4,SysML2,7.5
fixed feature value,固定フィーチャ値,"A fixed feature value establishes the binding of the usage to the result of evaluating the given expression at the point of declaration of the usage. Such a binding cannot be overridden in a redefinition of the usage because, once asserted, a binding must be true for all instances of the usage.",A fixed feature value establishes the binding of the usage to the result of evaluating the given expression at the point of declaration of the usage.,7.13.1,SysML2,7.13
"fixed, initial feature value",固定初期フィーチャ値,"A fixed, initial feature value relationship is declared as above but using the symbol := instead of =.","A fixed, initial feature value relationship is declared as above but using the symbol := instead of =.",7.13.4,SysML2,7.13
Flow,フロー,Flow is a subclass of messages that are also flow transfers.,Flow is the base type for FlowUsages that identify their source output and target input.,9.2.9.2.1,SysML2,9.2
Flow (KerML),フロー (KerML),An Flow is a Step that represents the transfer of values from one Feature to another. Flows can take non-zero time to complete.,An Flow is a Step that represents the transfer of values from one Feature to another.,8.3.4.9.2,KerML1,7.16
Flow Definition,フロー定義,"A flow definition is both a relationship and a kind of action definition (see 7.17 ) that classifies transfers of some payload between interacting occurrences, such as parts and actions. A flow definition is a binary relationship between two ends, the first of which is the source, from which the payload comes, and the second of which is the target, to which the payload is delivered. The transferred payload can be anything (attribute value, item, part, etc.). A flow definition may also have features other than its source and target that characterize the classified transfers separately from the interacting occurrences.","A flow definition is both a relationship and a kind of action definition (see 7.17 ) that classifies transfers of some payload between interacting occurrences, such as parts and actions.",7.16.1,SysML2,7.16
Flow Definition (semantics),フロー定義 (意味論),"A FlowDefinition is a kind of ActionDefinition, and a kind of KerML Interaction.","The checkFlowDefinitionSpecialization constraint requires that a FlowDefinition specialize the base FlowDefinition Flows::MessageAction (see 9.2.9.2.4 ), which subclassifies the ActionDefinition Actions::Action (see 9.2.10.2.4 ), as well as the kernel Association Links::Link (see [KerML, 9.2.3]).",8.4.12.1,SysML2,8.4
Flow Usage,フロー使用,"A flow usage is an action usage (see 7.17 ) that is a usage of a flow definition, connecting usage elements such as part and action usages. It represents the performance of a transfer, as classified by its flow definition, between the values of the interacting usages, which must be occurrences. The transfer is directed from the first end (the source) to the second end (the target).","A flow usage is an action usage (see 7.17 ) that is a usage of a flow definition, connecting usage elements such as part and action usages.",7.16.1,SysML2,7.16
Flow Usage (semantics),フロー使用 (意味論),A FlowUsage is a kind of ActionUsage and a kind of KerML Flow that is syntactically restricted to be defined by only KerML Interactions (including FlowDefinitions).,"The checkFlowUsageSpecification constraint requires that a FlowUsage specialize the base FlowUsage Flows::messages (see 9.2.9.2.5 ), which is typed by the FlowDefinition Flows::Message (see 9.2.9.2.3 ) and subsets the ActionUsage Actions::actions (see 9.2.10.2.5 ), and the kernel Step Transfers::transfers (see [KerML, 9.2.7]).",8.4.12.2,SysML2,8.4
Flows,フロー,Flows of values and items between parts and actions (see 7.16 ).,"When modeling physical interactions, an interface definition or usage can contain constraints (see 7.20 ) to constrain the values of the features of the ports on its ends.",7.14.1,SysML2,7.14
Flows,フロー,Flows of values and items between parts and actions (see 7.16 ).,"The modeling of behavior, which specifies how parts interact and includes: Flows of values and items between parts and actions (see 7.16 ).",7.1,SysML2,7.1
flows,フロー群,flows is the base feature of all FlowUsages that identify their source output and target input.,flows is the base feature of all FlowUsages that identify their source output and target input.,9.2.9.2.2,SysML2,9.2
FlowTransfer (KerML),フロー転送 (KerML),"FlowTransfers are Transfers that start by ""picking up"" their payload from the sourceOutput Feature (or one of its redefinitions) of the source and end with ""dropping it off"" at the targetInput Feature of the target (or one of its redefinitions, see 8.3.3.1.5 about outputs and inputs).","FlowTransfers are Transfers that start by ""picking up"" their payload from the sourceOutput Feature (or one of its redefinitions) of the source and end with ""dropping it off"" at the targetInput Feature of the target (or one of its redefinitions, see 8.3.3.1.5 about outputs and inputs).",9.2.7.2.2,KerML1,7.16
FlowTransferBefore (KerML),事前フロー転送 (KerML),A TransferBefore is Transfer that happens after its source and before its target.,A TransferBefore is Transfer that happens after its source and before its target.,9.2.7.2.10,KerML1,7.16
Fork Node,フォークノード,A fork node has one incoming succession and one or more outgoing successions. The actions connected to the outgoing successions cannot start until the action connected to the incoming succession has completed.,fork fork1; first fork1 then action1; first fork1 then action2;,7.17.3,SysML2,7.17
ForkAction,フォークアクション,A ForkAction is the ControlAction for a ForkNode.,A ForkAction is the ControlAction for a ForkNode.,9.2.10.2.11,SysML2,9.2
forks,フォーク,The controls of this Action that are ForkActions.,forks : ForkAction [0..*] {subsets controls},9.2.10.2.4,SysML2,9.2
ForLoopAction,Forループアクション,A ForLoopAction is a LoopAction that iterates over an ordered sequence of values.,It is the base type for all ForLoopActionUsages.,9.2.10.2.12,SysML2,9.2
forLoopActions,Forループアクション群,forLoopActions is the base feature for all ForLoopActionUsages.,forLoopActions is the base feature for all ForLoopActionUsages.,9.2.10.2.13,SysML2,9.2
forLoops,Forループ,The loops of this Action that are ForLoopActions.,forLoops : ForLoopAction [0..*] {subsets loops},9.2.10.2.4,SysML2,9.2
Framed Concern Usage,フレーム化された関心事使用,A framed concern usage is a subrequirement usage (see 7.21.2 ) indicated by prefixing a concern usage declaration with the keyword frame.,One or more concerns can then be framed in other requirement definitions and usages.,7.21.3,SysML2,7.21
from (keyword),fromキーワード,A keyword used in a dependency declaration to introduce the client elements.,The client elements of the dependency are then given as a comma-separated list of qualified names following the keyword from. dependency Use from 'Application Layer' to 'Service Layer';,7.3.2,SysML2,7.2-7.3
fullImage,フル画像,"A full-sized image that can be used to render the annotated element on a graphical view, potentially as an alternative to its standard rendering.",fullImage : Image [0..1],9.3.5.2.1,SysML2,9.3
Function Library,関数ライブラリ,(Implicitly defined as one of the three standard model libraries in KerML),"KerML includes three standard model libraries: the Semantic Library (see 9.2 ), the Data Type Library (see 9.3 ), and the Function Library (see 9.4 ).",9.1,KerML1,9.1
FunctionalRequirementCheck,機能要件チェック,"A FunctionalRequirementCheck specifies an action that a system, or part of a system, must perform.","A FunctionalRequirementCheck specifies an action that a system, or part of a system, must perform.",9.2.14.2.4,SysML2,9.2
GeneralView,一般ビュー,ViewDefinition to present any members of exposed model element(s).,"This is the most general view, enabling presentation of any model element.",9.2.20.2.3,SysML2,9.2
Geometry Domain Library,ジオメトリドメインライブラリ,"The Geometry Domain Library contains a model for physical items with spacial extent, including an extensive set of basic geometric shapes that can be used to construct such items (see 9.7 ).","The Geometry Domain Library contains a model for physical items with spacial extent, including an extensive set of basic geometric shapes that can be used to construct such items (see 9.7 ).",9.1,SysML2,9.1
Geometry Domain Library,幾何ドメインライブラリ,The Geometry Domain Library contains a general library model of physical items with spatial extent and a library model of specific spatial items that represent basic geometric shapes.,The Geometry Domain Library contains a general library model of physical items with spatial extent and a library model of specific spatial items that represent basic geometric shapes.,9.7,SysML2,9.4
Geometry Domain Library,幾何ドメインライブラリ,The Geometry Domain Library contains a general library model of physical items with spatial extent and a library model of specific spatial items that represent basic geometric shapes.,The Geometry Domain Library contains a general library model of physical items with spatial extent and a library model of specific spatial items that represent basic geometric shapes.,9.7.1,SysML2,9.7
GeometryView,ジオメトリビュー,ViewDefinition to present a visualization of exposed spatial items in two or three dimensions,"Valid nodes and edges in a GeometryView are: Spatial item, including shape, Coordinate frame, Feature related to spatial item, such as a quantity (e.g. temperature) of which values are to be rendered on a color scale",9.2.20.2.4,SysML2,9.2
gibi,ギビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",gibi Gi 10243,9.8.5.1,SysML2,9.8
gibi,ギビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^3)","Name: gibi, Symbol: Gi, Value: 1024^3",9.8.5.2,SysML2,9.4
giga,ギガ,"(No explicit description, but implied as a UnitPrefix for 10^9)","Name: giga, Symbol: G, Value: 10^9",9.8.5.2,SysML2,9.4
giga,ギガ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,giga G 109,9.8.5.1,SysML2,9.8
global namespace,グローバル名前空間,"A single namespace within whose scope a root namespace is considered to be, containing all KerML and SysML model libraries and potentially other root namespaces.","While a root namespace has no explicit owner, it is considered to be within the scope of a single global namespace.",7.5.5,SysML2,7.5
graphical notation,グラフィカル表記,The SysML concrete syntax includes a complete graphical notation (see 8.2.3 ).,... and a complete graphical notation (see 8.2.3 ).,8.1,SysML2,8.1
Graphical Notation,グラフィカル表記,A graphical view is rendered as a graph with nodes connected by edges. The nodes and edges may be rendered with specialized syntax in different views.,The SysML v2 textual notation (see 8.2.2 ) and the SysML v2 graphical notation (see 8.2.3 ) provide the concrete syntax representation of the SysML v2 abstract syntax (see 8.3 ).,8.2.3.1,SysML2,8.2
Graphical notation,グラフィカル表記,A concrete syntax representation of the SysML v2 abstract syntax using graphical elements.,"This document specifies the textual and graphical concrete syntax, abstract syntax, and semantics for SysML v2. The SysML v2 textual notation (see 8.2.2) and the SysML v2 graphical notation (see 8.2.3) provide the concrete syntax representation of the SysML v2 abstract syntax (see 8.3).",6.1,SysML2,6
Graphical Notation Conformance,グラフィカル表記適合性,"A tool demonstrating Graphical Notation Conformance provides Concrete Syntax Conformance for the SysML graphical notation. As part of this, the tool shall also support the textual notation at least to the extent necessary to properly render text in the graphical notation, and may also fully support the textual notation in conjunction with the graphical notation.","b. Graphical Notation Conformance. A tool demonstrating Graphical Notation Conformance provides Concrete Syntax Conformance for the SysML graphical notation. As part of this, the tool shall also support the textual notation at least to the extent necessary to properly render text in the graphical notation, and may also fully support the textual notation in conjunction with the graphical notation. (See 8.2.3 .)",2,SysML2,2
GraphicalRendering,グラフィカルレンダリング,A GraphicalRendering is a Rendering of a View into a graphical format.,A GraphicalRendering is a Rendering of a View into a graphical format.,9.2.19.2.5,SysML2,9.2
GridView,グリッドビュー,"ViewDefinition to present exposed model elements and their relationships, arranged in a rectangular grid.","GeometryView is the generalization of the following more specialized views: Tabular view, Data value tabular view, Relationship matrix view",9.2.20.2.5,SysML2,9.2
guard condition,ガード条件,"The transition usage can contain a guard condition, which is a Boolean expression (see 7.19 ) that must evaluate to true for the transition to occur.","The transition usage can contain a guard condition, which is a Boolean expression (see 7.19 ) that must evaluate to true for the transition to occur.",7.18,SysML2,7.18
guard expression,ガード式,A transition usage can also have a Boolean-valued guard expression.,A transition usage can also have a Boolean-valued guard expression.,7.18.3,SysML2,7.18
hecto,ヘクト,"(No explicit description, but implied as a UnitPrefix for 10^2)","Name: hecto, Symbol: h, Value: 10^2",9.8.5.2,SysML2,9.4
hecto,ヘクト,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,hecto h 102,9.8.5.1,SysML2,9.8
high,高レベル,"High level, taken to be 75%.",high,9.3.3.2.2,SysML2,9.3
high,高確率リスクレベル,Risk level with high probability.,high,9.3.3.2.5,SysML2,9.3
Hyperbola,双曲線,A Hyperbola is a planar Path in the shape of a hyperbola with given axes.,A Hyperbola is a planar Path in the shape of a hyperbola with given axes.,9.7.3.2.17,SysML2,9.7
Hyperbola,双曲線,A Hyperbola is a planar Path in the shape of a hyperbola with given axes.,A Hyperbola is a planar Path in the shape of a hyperbola with given axes.,9.7.3.2.17,SysML2,9.4
